         ps                                            /acc_method_tb/acc_result    
          delta                                                                     
   95080000  +1 0011111110110000001001000101011011000000010000111010010111011101 
   96060000  +1 0011111110100101001011100010110010000001110111001101110100000000 
   97040000  +1 0011111110011111110101111000111101001111000001101001110001000110 
   98020000  +1 0011111110101000010110101101011100000110100011001010101010100000 
   99000000  +1 0011111111010011011101111111000000101010001001110101001000100001 
   99980000  +1 0011111111010011001110111111000001001001001101011011100110111110 
  100960000  +1 0011111111010010110001110111100100010000100000111000011110001000 
  101940000  +1 0011111111010000100011111110110000111011101111001001000010000101 
  102920000  +1 0011111111010100100101010101011101011111100111001111111010001010 
  103900000  +1 0011111111010010101001010110000000111010001000001100100100110000 
  104880000  +1 0011111111010100010000001111110100100100101001101011001100101100 
  105860000  +1 0011111111010100001100111110110100001011001111000111011110011011 
  106840000  +1 0011111111010100000000100100111010111110110101100100001110001110 
  107820000  +1 0011111111010100011101110010011000010110000010001001011101110001 
  108800000  +1 0011111111010010011111110111001110110001001000110110110001000000 
  109780000  +1 0011111111010010010011100001110101000101111101100001111001111111 
  110760000  +1 0011111111010100110011110100010010001100110001011001111100101011 
  111740000  +1 0011111111010101000100101111101000001111010101010000111101100101 
  112720000  +1 0011111111010011101011110011011001000111100001110111000101101000 
  113700000  +1 0011111111010001101111111011100100110100010001010001010010101001 
  114680000  +1 0011111111010010011010011111000001110001010111001110001101001110 
  115660000  +1 0011111111010011000000100011111100000010011001100011110010111010 
  116640000  +1 0011111111010010100010001111011011111100100110010111111010011111 
  117620000  +1 0011111111010011100000000100110000101101100010100000100110011100 
  118600000  +1 0011111111010011101110100101010101001000111110010100010100001110 
  119580000  +1 0011111111010010011010110010010000001001110101111101110101011110 
  120560000  +1 0011111111010010101100010010101001010001010110100110100011111110 
  121540000  +1 0011111111010010001010010110110011100110000001010000111100101111 
  122520000  +1 0011111111010011000110010110001100101110110110100110101110001011 
  123500000  +1 0011111111010010011001101101101110000000000001100111110100111110 
  124480000  +1 0011111111010011000010111101100000010100110100101110101110100111 
  125460000  +1 0011111111010011011001110101001011100101010001100000100000010100 
  126440000  +1 0011111111010001101001011110000111111110100100010101101101011111 
  127420000  +1 0011111111010001101010111001011010101111110111011001010010010110 
  128400000  +1 0011111111010011011110000001011101000001110101110101110010100000 
  129380000  +1 0011111111010010010011100110111010001000011110000001011110100001 
  130360000  +1 0011111111010100100110000111111110010011100010001101001100100110 
  131340000  +1 0011111111010100010010010001111111011001111011111100011101011110 
  132320000  +1 0011111111010100000110010101110110000011100100101111001111111000 
  133300000  +1 0011111111010001111110110010000001011100010111101100111001000000 
  134280000  +1 0011111111010010110100000001001100101010101110011001000100000001 
  135260000  +1 0011111111010101011010101110100011110010010000110110111100110001 
  136240000  +1 0011111111010011101010100000100011100101001011010100011010111001 
  137220000  +1 0011111111010110001010000100100111011111100010110001101111111100 
  138200000  +1 0011111111010011111101100101100000001111010101111011100101010000 
  139180000  +1 0011111111010010011011100111111011010010101111000000110010110000 
  140160000  +1 0011111111010010010001101100100100111101111100101000000110111000 
  141140000  +1 0011111111010010111111001111011000111111100011010001100000000000 
  142120000  +1 0011111111010010101101110100101101001111011011111101011111101000 
  143100000  +1 0011111111010001000011110001011100101101110100011010001010101110 
  144080000  +1 0011111111010011111110110100101001101101101001000100001101110000 
  145060000  +1 0011111111010011101001100001101110110010100111111010001101011000 
  146040000  +1 0011111111010011000011001010001110101111100100111111100111011000 
  147020000  +1 0011111111010000111011010101000001101011110100010010001010111100 
  148000000  +1 0011111111010010101111110101000100011111110000101001101010011101 
  148980000  +1 0011111111010101001111010100111100011100001111010100000001110010 
  149960000  +1 0011111111010010011110010111010110010100010000000101101110001001 
  150940000  +1 0011111111010011001000011100011101101110101011111010000001111010 
  151920000  +1 0011111111010100010101001011001011110010111101101011011111011011 
  152900000  +1 0011111111010001110000111001001011010011100100101001101001100101 
  153880000  +1 0011111111010011100110000110100111110010000100011111111000110011 
  154860000  +1 0011111111010101000100101010011001111010011011010011001010000001 
  155840000  +1 0011111111010011000101110110111011110011010011001010100010000101 
  156820000  +1 0011111111010100010111111001111111100010011110111101011101010111 
  157800000  +1 0011111111010001110011111100000110001111111101011011001111110101 
  158780000  +1 0011111111010111000111100000100110001011111110101011010000110101 
  159760000  +1 0011111111010011001001101100011010010110010001000101111100001101 
  160740000  +1 0011111111010001000110101001111001001100000001001000000001000100 
  161720000  +1 0011111111010001111001000101111100000101010010010111110100110001 
  162700000  +1 0011111111010100000000001000110100110011111010111101011011000110 
  163680000  +1 0011111111010100011010100001001110101110110001010010000001110000 
  164660000  +1 0011111111010010000110000100000000100100001011001011111011000001 
  165640000  +1 0011111111010100001001001010101001011101001100000010010100011011 
  166620000  +1 0011111111010100100011111001011000011011001100001011001000101011 
  167600000  +1 0011111111010011110111010001111010010110110101010101101000001000 
  168580000  +1 0011111111010010000010111011011001111111110010000000100110011111 
  169560000  +1 0011111111010011010100001011000010101111101111001001001110000000 
  170540000  +1 0011111111010100111111011010111001001010101011000000010010110011 
  171520000  +1 0011111111010010000001000000111000011111111001001010100000001010 
  172500000  +1 0011111111010011011001100010101011110110000001010010110110000100 
  173480000  +1 0011111111010001101010010110010111001110010100111101001000101100 
  174460000  +1 0011111111010011000000110011110001111101001101000110001000111101 
  175440000  +1 0011111111010011110001011010010111001101001001001110100011000110 
  176420000  +1 0011111111010100111100000001100000011101111100011000010000111111 
  177400000  +1 0011111111010011010001101111101011100001111101100100001100010001 
  178380000  +1 0011111111010100100001010110011111011101001101101110110111010101 
  179360000  +1 0011111111010010110111101110011101110000000000111100110100111100 
  180340000  +1 0011111111010001111100011110000011100010100000111000010011110101 
  181320000  +1 0011111111010011001011001011000111101110110011010101101101010110 
  182300000  +1 0011111111010010001101110110000101001110100011000111001110101111 
  183280000  +1 0011111111010001111101111111110110110110011101000110101100101110 
  184260000  +1 0011111111010010000100011000101111011011100011011110110011101001 
  185240000  +1 0011111111001110110111011101001010100110010011100000011110000001 
  186220000  +1 0011111111010001000111110000111100000101101000010101000011100111 
  187200000  +1 0011111111010011010001100000111010100100010110000001001101010100 
  188180000  +1 0011111111010100000000110000110111000010000111111001110101011111 
  189160000  +1 0011111111010000011100010111111100000000011011101110110100010110 
  190140000  +1 0011111111010011011001100011110001011110100010000011000100011100 
  191120000  +1 0011111111010100000001000101011010010000111111011000111010001110 
  192100000  +1 0011111111010100011101101010101011011100111110010100111111010000 
  193080000  +1 0011111111010010100000000010011111110010010001111101100010011000 
  194060000  +1 0011111111010011110111011111111100011010100010110001111111010011 
  195040000  +1 0011111111001111110111010001011110101000001111111111010011010000 
  196020000  +1 0011111111010010011011110110010110000010000001111111101101010110 
  197000000  +1 0011111110101000000111011010011111111010000000001101101010110110 
  197980000  +1 0011111110100111001011001000001001111110001001100001001011101111 
  198960000  +1 0011111110101011100110110110110001001000110100001101100111011000 
  199940000  +1 0011111110100010011110000010010110110110000111001111100000001111 
  200920000  +1 0011111110100101001100010101011011100101010010011111110100111110 
  201900000  +1 0011111110100111001100001001100110000001000011100000000100000010 
  202880000  +1 0011111110100011011011111111001001110011001001011111000011111100 
  203860000  +1 0011111110011110111000011010110010001000100000110110001111101001 
  204840000  +1 0011111110100100110101001111000111010111101111110101101110010101 
  205820000  +1 0011111110100100101000110000000001001101000000001101010010110011 
  206800000  +1 0011111110100111010101101110010100011100110001111000101101101010 
  207780000  +1 0011111110101001001000110000010001010010011000101011111011011111 
  208760000  +1 0011111110101100111100100000011110101100101100100001000001010100 
  209740000  +1 0011111110011110011010100000101100011110001011111101110100110110 
  210720000  +1 0011111110110000000010010001010010110001000001000000100101000101 
  211700000  +1 0011111110101000001111110110010100001001110111110100100001100010 
  212680000  +1 0011111110110001111110101111101101000010110111011100000111110011 
  213660000  +1 0011111110101001101010000100011010001100001011000010100010001111 
  214640000  +1 0011111110100010100111000000010001111100000100110001001001101001 
  215620000  +1 0011111110010110001001110011000011100011001011010111100011110100 
  216600000  +1 0011111110100000010001100111101010010111001010110101001001011011 
  217580000  +1 0011111110110001011101000010010100000011110010011111011110010011 
  218560000  +1 0011111110100100100111101011110000101110100001001010010001001001 
  219540000  +1 0011111110100001001011101011110100010100010011110111111011101101 
  220520000  +1 0011111110100001000111110110100101111100011000111110101100000010 
  221500000  +1 0011111110100000111111100100000101001111010110100111000110001100 
  222480000  +1 0011111110100100110111100001100110111110000100111101101000011011 
  223460000  +1 0011111110100111110011001001101101011001110101000001001001101100 
  224440000  +1 0011111110100100111111000001010110100011001000001101110110110001 
  225420000  +1 0011111110100110110000000110001000010110011110011101111111110100 
  226400000  +1 0011111110100011100110110100101010011011110111111101101100000111 
  227380000  +1 0011111110101000101100000111010101000110010011000100110111100000 
  228360000  +1 0011111110101001000011010100100111110111001011101000001010001101 
  229340000  +1 0011111110101101110100100001111110000010001001110111000001001010 
  230320000  +1 0011111110100101101010000111001110000110111111101110110110101000 
  231300000  +1 0011111110100101111101001100110010100101101110000000010101110111 
  232280000  +1 0011111110101101000101001000111100011000110110100111000111001010 
  233260000  +1 0011111110100100000000000110001111110110011011001100111101000010 
  234240000  +1 0011111110100100101100100101010010100000011111100001011101000000 
  235220000  +1 0011111110100000101110010111010000100000010010000011110001001010 
  236200000  +1 0011111110101100111000110100101110000000010010000001011100010110 
  237180000  +1 0011111110100100000110011011101000110111010000101101111110100100 
  238160000  +1 0011111110011110001000111000100110111111100010010100101011000101 
  239140000  +1 0011111110100001000101101110101110001010011110001011100110111001 
  240120000  +1 0011111110110000101101000100110011111000001011111101010100010010 
  241100000  +1 0011111110110000110101011111111101000011011000010111101111110101 
  242080000  +1 0011111110101110110000110111101111101000000010100110001011110111 
  243060000  +1 0011111110100101100101010001111000001111111111000001111000110010 
  244040000  +1 0011111110100111100100010011101001010111010001111111100110100100 
  245020000  +1 0011111110100101111100111010000000111000000100010110110110011110 
  246000000  +1 0011111110100000111011001010110010010100100111000001101111111001 
  246980000  +1 0011111110100010101001001100011100110000110111001100011101001100 
  247960000  +1 0011111110100111001010011110101010000011101100110100100001111101 
  248940000  +1 0011111110100001001000111011100100011000001001010110110000011101 
  249920000  +1 0011111110100110100101010000101100000101001101001001101011110001 
  250900000  +1 0011111110100111011011101100000110110011010001011010000101000011 
  251880000  +1 0011111110101001001001101010101101010011100011011010001101111000 
  252860000  +1 0011111110101010010001010011100110010011010000111100111011010110 
  253840000  +1 0011111110011101100010010001001110101101010101001010100000100000 
  254820000  +1 0011111110100111011100001001101001001111011101111011111000010101 
  255800000  +1 0011111110100100110010100010101000111011011111111000101111000101 
  256780000  +1 0011111110101100010000110011011111001001001000000011100010110010 
